partition,proportional_entropy
0,1.5789115322863327
1,1.579009354421982
2,1.5791296927855023
3,1.5772498790445095
4,1.5709439612665874
5,1.5756625466094514
6,1.5705187836223249
7,1.5728724760460628
8,1.5781359545208429
9,1.5781359545208429
10,1.5763308790680375
11,1.5705170494650937
12,1.5763308790680375
13,1.5763308790680375
14,1.5779972788173284
15,1.5751182883893016
16,1.5660594035896893
17,1.5704117578115269
18,1.5704117578115269
19,1.574546218078543
20,1.5761442165813937
21,1.5759873037531444
22,1.5761442165813937
23,1.5778077237320112
24,1.5786387751283693
25,1.5775705804127544
26,1.5697558734533037
27,1.5697558734533037
28,1.5775705804127544
29,1.574746394905156
30,1.5672861368348872
31,1.5644965462338993
32,1.5740883066099594
33,1.5715454768018595
34,1.5714829562560593
35,1.5719942050254159
36,1.5719942050254159
37,1.5756786055933745
38,1.5787599417804463
39,1.5792412952345278
