partition,district,color,population
0,0,Red,49.0
0,1,Red,48.0
0,2,Red,58.0
0,3,Red,47.0
1,0,Red,49.0
1,1,Red,48.0
1,2,Red,58.0
1,3,Red,47.0
2,0,Red,48.0
2,1,Red,49.0
2,2,Red,58.0
2,3,Red,47.0
3,0,Red,58.0
3,1,Red,49.0
3,2,Red,48.0
3,3,Red,47.0
4,0,Red,47.0
4,1,Red,49.0
4,2,Red,48.0
4,3,Red,58.0
5,0,Red,49.0
5,1,Red,47.0
5,2,Red,48.0
5,3,Red,58.0
6,0,Red,53.0
6,1,Red,47.0
6,2,Red,44.0
6,3,Red,58.0
7,0,Red,53.0
7,1,Red,47.0
7,2,Red,44.0
7,3,Red,58.0
8,0,Red,53.0
8,1,Red,47.0
8,2,Red,58.0
8,3,Red,44.0
9,0,Red,53.0
9,1,Red,58.0
9,2,Red,47.0
9,3,Red,44.0
10,0,Red,53.0
10,1,Red,58.0
10,2,Red,47.0
10,3,Red,44.0
11,0,Red,47.0
11,1,Red,58.0
11,2,Red,53.0
11,3,Red,44.0
12,0,Red,58.0
12,1,Red,47.0
12,2,Red,53.0
12,3,Red,44.0
13,0,Red,55.0
13,1,Red,50.0
13,2,Red,53.0
13,3,Red,44.0
14,0,Red,55.0
14,1,Red,50.0
14,2,Red,45.0
14,3,Red,52.0
15,0,Red,47.0
15,1,Red,58.0
15,2,Red,45.0
15,3,Red,52.0
16,0,Red,47.0
16,1,Red,58.0
16,2,Red,45.0
16,3,Red,52.0
17,0,Red,47.0
17,1,Red,45.0
17,2,Red,58.0
17,3,Red,52.0
18,0,Red,47.0
18,1,Red,44.0
18,2,Red,58.0
18,3,Red,53.0
19,0,Red,53.0
19,1,Red,44.0
19,2,Red,58.0
19,3,Red,47.0
20,0,Red,53.0
20,1,Red,44.0
20,2,Red,58.0
20,3,Red,47.0
21,0,Red,47.0
21,1,Red,44.0
21,2,Red,58.0
21,3,Red,53.0
22,0,Red,53.0
22,1,Red,44.0
22,2,Red,58.0
22,3,Red,47.0
23,0,Red,53.0
23,1,Red,58.0
23,2,Red,44.0
23,3,Red,47.0
24,0,Red,53.0
24,1,Red,58.0
24,2,Red,44.0
24,3,Red,47.0
25,0,Red,48.0
25,1,Red,58.0
25,2,Red,49.0
25,3,Red,47.0
26,0,Red,52.0
26,1,Red,54.0
26,2,Red,49.0
26,3,Red,47.0
27,0,Red,58.0
27,1,Red,48.0
27,2,Red,49.0
27,3,Red,47.0
28,0,Red,58.0
28,1,Red,48.0
28,2,Red,49.0
28,3,Red,47.0
29,0,Red,58.0
29,1,Red,48.0
29,2,Red,49.0
29,3,Red,47.0
30,0,Red,58.0
30,1,Red,48.0
30,2,Red,49.0
30,3,Red,47.0
31,0,Red,47.0
31,1,Red,48.0
31,2,Red,49.0
31,3,Red,58.0
32,0,Red,47.0
32,1,Red,53.0
32,2,Red,44.0
32,3,Red,58.0
33,0,Red,47.0
33,1,Red,49.0
33,2,Red,48.0
33,3,Red,58.0
34,0,Red,47.0
34,1,Red,49.0
34,2,Red,48.0
34,3,Red,58.0
35,0,Red,47.0
35,1,Red,44.0
35,2,Red,53.0
35,3,Red,58.0
36,0,Red,47.0
36,1,Red,51.0
36,2,Red,53.0
36,3,Red,51.0
37,0,Red,47.0
37,1,Red,44.0
37,2,Red,53.0
37,3,Red,58.0
38,0,Red,53.0
38,1,Red,44.0
38,2,Red,47.0
38,3,Red,58.0
39,0,Red,53.0
39,1,Red,44.0
39,2,Red,47.0
39,3,Red,58.0
0,0,Blue,59.0
0,1,Blue,44.0
0,2,Blue,61.0
0,3,Blue,53.0
1,0,Blue,59.0
1,1,Blue,44.0
1,2,Blue,61.0
1,3,Blue,53.0
2,0,Blue,61.0
2,1,Blue,42.0
2,2,Blue,61.0
2,3,Blue,53.0
3,0,Blue,61.0
3,1,Blue,42.0
3,2,Blue,61.0
3,3,Blue,53.0
4,0,Blue,53.0
4,1,Blue,42.0
4,2,Blue,61.0
4,3,Blue,61.0
5,0,Blue,42.0
5,1,Blue,53.0
5,2,Blue,61.0
5,3,Blue,61.0
6,0,Blue,38.0
6,1,Blue,53.0
6,2,Blue,65.0
6,3,Blue,61.0
7,0,Blue,38.0
7,1,Blue,53.0
7,2,Blue,65.0
7,3,Blue,61.0
8,0,Blue,38.0
8,1,Blue,53.0
8,2,Blue,61.0
8,3,Blue,65.0
9,0,Blue,38.0
9,1,Blue,61.0
9,2,Blue,53.0
9,3,Blue,65.0
10,0,Blue,38.0
10,1,Blue,61.0
10,2,Blue,53.0
10,3,Blue,65.0
11,0,Blue,53.0
11,1,Blue,61.0
11,2,Blue,38.0
11,3,Blue,65.0
12,0,Blue,61.0
12,1,Blue,53.0
12,2,Blue,38.0
12,3,Blue,65.0
13,0,Blue,59.0
13,1,Blue,55.0
13,2,Blue,38.0
13,3,Blue,65.0
14,0,Blue,59.0
14,1,Blue,55.0
14,2,Blue,50.0
14,3,Blue,53.0
15,0,Blue,53.0
15,1,Blue,61.0
15,2,Blue,50.0
15,3,Blue,53.0
16,0,Blue,53.0
16,1,Blue,61.0
16,2,Blue,50.0
16,3,Blue,53.0
17,0,Blue,53.0
17,1,Blue,50.0
17,2,Blue,61.0
17,3,Blue,53.0
18,0,Blue,53.0
18,1,Blue,65.0
18,2,Blue,61.0
18,3,Blue,38.0
19,0,Blue,38.0
19,1,Blue,65.0
19,2,Blue,61.0
19,3,Blue,53.0
20,0,Blue,38.0
20,1,Blue,65.0
20,2,Blue,61.0
20,3,Blue,53.0
21,0,Blue,41.0
21,1,Blue,65.0
21,2,Blue,61.0
21,3,Blue,50.0
22,0,Blue,38.0
22,1,Blue,65.0
22,2,Blue,61.0
22,3,Blue,53.0
23,0,Blue,38.0
23,1,Blue,61.0
23,2,Blue,65.0
23,3,Blue,53.0
24,0,Blue,38.0
24,1,Blue,61.0
24,2,Blue,65.0
24,3,Blue,53.0
25,0,Blue,44.0
25,1,Blue,61.0
25,2,Blue,59.0
25,3,Blue,53.0
26,0,Blue,54.0
26,1,Blue,51.0
26,2,Blue,59.0
26,3,Blue,53.0
27,0,Blue,61.0
27,1,Blue,44.0
27,2,Blue,59.0
27,3,Blue,53.0
28,0,Blue,61.0
28,1,Blue,44.0
28,2,Blue,59.0
28,3,Blue,53.0
29,0,Blue,61.0
29,1,Blue,44.0
29,2,Blue,59.0
29,3,Blue,53.0
30,0,Blue,61.0
30,1,Blue,44.0
30,2,Blue,59.0
30,3,Blue,53.0
31,0,Blue,53.0
31,1,Blue,44.0
31,2,Blue,59.0
31,3,Blue,61.0
32,0,Blue,53.0
32,1,Blue,38.0
32,2,Blue,65.0
32,3,Blue,61.0
33,0,Blue,53.0
33,1,Blue,59.0
33,2,Blue,44.0
33,3,Blue,61.0
34,0,Blue,53.0
34,1,Blue,59.0
34,2,Blue,44.0
34,3,Blue,61.0
35,0,Blue,53.0
35,1,Blue,65.0
35,2,Blue,38.0
35,3,Blue,61.0
36,0,Blue,53.0
36,1,Blue,63.0
36,2,Blue,38.0
36,3,Blue,63.0
37,0,Blue,53.0
37,1,Blue,65.0
37,2,Blue,38.0
37,3,Blue,61.0
38,0,Blue,38.0
38,1,Blue,65.0
38,2,Blue,53.0
38,3,Blue,61.0
39,0,Blue,38.0
39,1,Blue,65.0
39,2,Blue,53.0
39,3,Blue,61.0
0,0,Green,41.0
0,1,Green,69.0
0,2,Green,61.0
0,3,Green,48.0
1,0,Green,41.0
1,1,Green,69.0
1,2,Green,54.0
1,3,Green,55.0
2,0,Green,50.0
2,1,Green,60.0
2,2,Green,54.0
2,3,Green,55.0
3,0,Green,54.0
3,1,Green,60.0
3,2,Green,50.0
3,3,Green,55.0
4,0,Green,55.0
4,1,Green,60.0
4,2,Green,50.0
4,3,Green,54.0
5,0,Green,60.0
5,1,Green,55.0
5,2,Green,50.0
5,3,Green,54.0
6,0,Green,55.0
6,1,Green,55.0
6,2,Green,55.0
6,3,Green,54.0
7,0,Green,55.0
